"","AA","section1_score","section2_score","section3_score","section3_weighted","section1_weighted","section2_weighted","total_score","candidate_type"
"12798",12798,76,17,63,38,4.25,15.75,58,"University Degree"
"12799",12799,64,30,47.22,32,7.5,11.81,51.31,"University Degree"
"12800",12800,100,68,49.67,50,17,12.42,79.42,"University Degree"
"12801",12801,96,29,50,48,7.25,12.5,67.75,"University Degree"
"12802",12802,48,50,58.56,24,12.5,14.64,51.14,"University Degree"
"12803",12803,88,37,54.11,44,9.25,13.53,66.78,"University Degree"
"12804",12804,100,63,61.33,50,15.75,15.33,81.08,"University Degree"
"12805",12805,100,34,65.78,50,8.5,16.44,74.94,"University Degree"
"12806",12806,80,52,44.11,40,13,11.03,64.03,"University Degree"
"12807",12807,100,47,74,50,11.75,18.5,80.25,"University Degree"
"12808",12808,100,45,52.67,50,11.25,13.17,74.42,"University Degree"
"12809",12809,96,73,64.44,48,18.25,16.11,82.36,"University Degree"
"12810",12810,96,37,74.44,48,9.25,18.61,75.86,"University Degree"
"12811",12811,96,27,50.33,48,6.75,12.58,67.33,"University Degree"
"12812",12812,100,7,70.56,50,1.75,17.64,69.39,"University Degree"
"12813",12813,84,15,53.11,42,3.75,13.28,59.03,"University Degree"
"12814",12814,100,86,50.89,50,21.5,12.72,84.22,"University Degree"
"12815",12815,84,25,44,42,6.25,11,59.25,"University Degree"
"12816",12816,68,37,66.22,34,9.25,16.56,59.81,"University Degree"
"12817",12817,68,42,58.22,34,10.5,14.56,59.06,"University Degree"
"12818",12818,92,63,58.11,46,15.75,14.53,76.28,"University Degree"
"12819",12819,88,25,62.33,44,6.25,15.58,65.83,"University Degree"
"12820",12820,100,47,59.56,50,11.75,14.89,76.64,"University Degree"
"12821",12821,100,35,30.44,50,8.75,7.61,66.36,"University Degree"
"12822",12822,92,20,44.56,46,5,11.14,62.14,"University Degree"
"12823",12823,100,50,56.78,50,12.5,14.19,76.69,"University Degree"
"12824",12824,96,30,48.56,48,7.5,12.14,67.64,"University Degree"
"12825",12825,100,73,70.89,50,18.25,17.72,85.97,"University Degree"
"12826",12826,100,88,59,50,22,14.75,86.75,"University Degree"
"12827",12827,80,70,48.44,40,17.5,12.11,69.61,"University Degree"
"12828",12828,100,53,66.56,50,13.25,16.64,79.89,"University Degree"
"12829",12829,72,43,52.56,36,10.75,13.14,59.89,"University Degree"
"12830",12830,76,70,57.56,38,17.5,14.39,69.89,"University Degree"
"12831",12831,68,50,56.56,34,12.5,14.14,60.64,"University Degree"
"12832",12832,96,63,63.33,48,15.75,15.83,79.58,"University Degree"
"12833",12833,100,53,66.33,50,13.25,16.58,79.83,"University Degree"
"12834",12834,100,63,49.33,50,15.75,12.33,78.08,"University Degree"
"12835",12835,100,93,51.33,50,23.25,12.83,86.08,"University Degree"
"12836",12836,40,47,38.33,20,11.75,9.58,41.33,"University Degree"
"12837",12837,100,55,63,50,13.75,15.75,79.5,"University Degree"
"12838",12838,100,55,60.22,50,13.75,15.06,78.81,"University Degree"
"12839",12839,100,37,55.56,50,9.25,13.89,73.14,"University Degree"
"12840",12840,100,75,33,50,18.75,8.25,77,"University Degree"
"12841",12841,44,47,36.78,22,11.75,9.19,42.94,"University Degree"
"12842",12842,100,27,50.22,50,6.75,12.56,69.31,"University Degree"
"12843",12843,96,63,66.22,48,15.75,16.56,80.31,"University Degree"
"12844",12844,96,47,74.78,48,11.75,18.69,78.44,"University Degree"
"12845",12845,100,48,54.67,50,12,13.67,75.67,"University Degree"
"12846",12846,100,70,63.67,50,17.5,15.92,83.42,"University Degree"
"12847",12847,72,17,62.67,36,4.25,15.67,55.92,"University Degree"
"12848",12848,100,50,61.11,50,12.5,15.28,77.78,"University Degree"
"12849",12849,96,52,80.22,48,13,20.06,81.06,"University Degree"
"12850",12850,36,50,47,18,12.5,11.75,42.25,"University Degree"
"12851",12851,72,40,63.11,36,10,15.78,61.78,"University Degree"
"12852",12852,84,38,47.56,42,9.5,11.89,63.39,"University Degree"
"12853",12853,100,81,57.67,50,20.25,14.42,84.67,"University Degree"
"12854",12854,100,55,61.56,50,13.75,15.39,79.14,"University Degree"
"12855",12855,72,14,38.78,36,3.5,9.69,49.19,"University Degree"
"12856",12856,100,40,42.22,50,10,10.56,70.56,"University Degree"
"12857",12857,100,58,52.56,50,14.5,13.14,77.64,"University Degree"
"12858",12858,100,20,49.44,50,5,12.36,67.36,"University Degree"
"12859",12859,100,48,48.67,50,12,12.17,74.17,"University Degree"
"12860",12860,80,65,65.22,40,16.25,16.31,72.56,"University Degree"
"12861",12861,64,17,62.44,32,4.25,15.61,51.86,"University Degree"
"12862",12862,88,32,48,44,8,12,64,"University Degree"
"12863",12863,40,29,49.89,20,7.25,12.47,39.72,"University Degree"
"12864",12864,52,25,68.11,26,6.25,17.03,49.28,"University Degree"
"12865",12865,76,45,59.78,38,11.25,14.94,64.19,"University Degree"
"12866",12866,88,17,52,44,4.25,13,61.25,"University Degree"
"12867",12867,100,50,71.11,50,12.5,17.78,80.28,"University Degree"
"12868",12868,100,40,59.11,50,10,14.78,74.78,"University Degree"
"12869",12869,100,37,69,50,9.25,17.25,76.5,"University Degree"
"12870",12870,60,48,39.33,30,12,9.83,51.83,"University Degree"
"12871",12871,76,38,46.78,38,9.5,11.69,59.19,"University Degree"
"12872",12872,88,48,41.11,44,12,10.28,66.28,"University Degree"
"12873",12873,80,19,35.89,40,4.75,8.97,53.72,"University Degree"
"12874",12874,100,29,47.56,50,7.25,11.89,69.14,"University Degree"
"12875",12875,100,45,42.89,50,11.25,10.72,71.97,"University Degree"
"12876",12876,96,57,36.78,48,14.25,9.19,71.44,"University Degree"
"12877",12877,100,91,54.67,50,22.75,13.67,86.42,"University Degree"
"12878",12878,40,22,75.33,20,5.5,18.83,44.33,"University Degree"
"12879",12879,76,42,46.78,38,10.5,11.69,60.19,"University Degree"
"12880",12880,100,88,38.22,50,22,9.56,81.56,"University Degree"
"12881",12881,36,50,61.22,18,12.5,15.31,45.81,"University Degree"
"12882",12882,88,38,71.78,44,9.5,17.94,71.44,"University Degree"
"12883",12883,100,81,45,50,20.25,11.25,81.5,"University Degree"
"12884",12884,100,47,55,50,11.75,13.75,75.5,"University Degree"
"12885",12885,96,60,46.22,48,15,11.56,74.56,"University Degree"
"12886",12886,72,24,50.67,36,6,12.67,54.67,"University Degree"
"12887",12887,96,50,58.33,48,12.5,14.58,75.08,"University Degree"
"12888",12888,76,50,57.67,38,12.5,14.42,64.92,"University Degree"
"12889",12889,100,47,62.22,50,11.75,15.56,77.31,"University Degree"
"12890",12890,56,29,51.56,28,7.25,12.89,48.14,"University Degree"
"12891",12891,100,34,67.11,50,8.5,16.78,75.28,"University Degree"
"12892",12892,56,52,47.33,28,13,11.83,52.83,"University Degree"
"12893",12893,52,35,48.67,26,8.75,12.17,46.92,"University Degree"
"12894",12894,96,37,45.78,48,9.25,11.44,68.69,"University Degree"
"12895",12895,68,68,54.67,34,17,13.67,64.67,"University Degree"
"12896",12896,100,70,52,50,17.5,13,80.5,"University Degree"
"12897",12897,92,53,68.56,46,13.25,17.14,76.39,"University Degree"
"12898",12898,96,30,46.56,48,7.5,11.64,67.14,"University Degree"
"12899",12899,36,52,58.89,18,13,14.72,45.72,"University Degree"
"12900",12900,72,55,63.33,36,13.75,15.83,65.58,"University Degree"
"12901",12901,44,37,40,22,9.25,10,41.25,"University Degree"
"12902",12902,80,38,58.11,40,9.5,14.53,64.03,"University Degree"
"12903",12903,84,42,45.22,42,10.5,11.31,63.81,"University Degree"
"12904",12904,88,58,44.22,44,14.5,11.06,69.56,"University Degree"
"12905",12905,40,19,71,20,4.75,17.75,42.5,"University Degree"
"12906",12906,68,60,57.11,34,15,14.28,63.28,"University Degree"
"12907",12907,68,60,60.78,34,15,15.19,64.19,"University Degree"
"12908",12908,64,25,54.44,32,6.25,13.61,51.86,"University Degree"
"12909",12909,64,50,61.33,32,12.5,15.33,59.83,"University Degree"
"12910",12910,100,55,64.44,50,13.75,16.11,79.86,"University Degree"
"12911",12911,92,38,51.78,46,9.5,12.94,68.44,"University Degree"
"12912",12912,100,27,39.89,50,6.75,9.97,66.72,"University Degree"
"12913",12913,100,47,65.67,50,11.75,16.42,78.17,"University Degree"
"12914",12914,92,55,62.33,46,13.75,15.58,75.33,"University Degree"
"12915",12915,84,34,47.11,42,8.5,11.78,62.28,"University Degree"
"12916",12916,100,57,54.67,50,14.25,13.67,77.92,"University Degree"
"12917",12917,100,73,49.33,50,18.25,12.33,80.58,"University Degree"
"12918",12918,100,90,55.33,50,22.5,13.83,86.33,"University Degree"
"12919",12919,100,52,58.67,50,13,14.67,77.67,"University Degree"
"12920",12920,60,29,56.22,30,7.25,14.06,51.31,"University Degree"
"12921",12921,92,60,58.11,46,15,14.53,75.53,"University Degree"
"12922",12922,96,76,66.44,48,19,16.61,83.61,"University Degree"
"12923",12923,76,30,58.11,38,7.5,14.53,60.03,"University Degree"
"12924",12924,100,93,50.78,50,23.25,12.69,85.94,"University Degree"
"12925",12925,88,42,77.67,44,10.5,19.42,73.92,"University Degree"
"12926",12926,100,47,44.33,50,11.75,11.08,72.83,"University Degree"
"12927",12927,64,25,59.11,32,6.25,14.78,53.03,"University Degree"
"12928",12928,88,7,72.67,44,1.75,18.17,63.92,"University Degree"
"12929",12929,100,70,54.89,50,17.5,13.72,81.22,"University Degree"
"12930",12930,96,40,56.89,48,10,14.22,72.22,"University Degree"
"12931",12931,92,17,43.33,46,4.25,10.83,61.08,"University Degree"
"12932",12932,92,50,58.11,46,12.5,14.53,73.03,"University Degree"
"12933",12933,52,53,70.44,26,13.25,17.61,56.86,"University Degree"
"12934",12934,72,37,59.89,36,9.25,14.97,60.22,"University Degree"
"12935",12935,96,40,75.22,48,10,18.81,76.81,"University Degree"
"12936",12936,100,43,63,50,10.75,15.75,76.5,"University Degree"
"12937",12937,100,57,43.44,50,14.25,10.86,75.11,"University Degree"
"12938",12938,96,40,55.22,48,10,13.81,71.81,"University Degree"
"12939",12939,56,43,54.44,28,10.75,13.61,52.36,"University Degree"
"12940",12940,60,52,30.56,30,13,7.64,50.64,"University Degree"
"12941",12941,100,35,71.78,50,8.75,17.94,76.69,"University Degree"
"12942",12942,48,7,54.56,24,1.75,13.64,39.39,"University Degree"
"12943",12943,76,14,49.89,38,3.5,12.47,53.97,"University Degree"
"12944",12944,32,34,56.22,16,8.5,14.06,38.56,"University Degree"
"12945",12945,44,35,50.11,22,8.75,12.53,43.28,"University Degree"
"12946",12946,100,55,54,50,13.75,13.5,77.25,"University Degree"
"12947",12947,100,53,58.67,50,13.25,14.67,77.92,"University Degree"
"12948",12948,100,53,64.78,50,13.25,16.19,79.44,"University Degree"
"12949",12949,96,43,68,48,10.75,17,75.75,"University Degree"
"12950",12950,96,57,35.67,48,14.25,8.92,71.17,"University Degree"
"12951",12951,100,60,66.22,50,15,16.56,81.56,"University Degree"
"12952",12952,68,34,47.33,34,8.5,11.83,54.33,"University Degree"
"12953",12953,96,45,55.22,48,11.25,13.81,73.06,"University Degree"
"12954",12954,96,45,40.89,48,11.25,10.22,69.47,"University Degree"
"12955",12955,100,38,46.33,50,9.5,11.58,71.08,"University Degree"
"12956",12956,56,48,64.78,28,12,16.19,56.19,"University Degree"
"12957",12957,68,53,66.89,34,13.25,16.72,63.97,"University Degree"
"12958",12958,100,62,50.67,50,15.5,12.67,78.17,"University Degree"
"12959",12959,76,37,69,38,9.25,17.25,64.5,"University Degree"
"12960",12960,56,40,73.44,28,10,18.36,56.36,"University Degree"
"12961",12961,76,25,59.33,38,6.25,14.83,59.08,"University Degree"
"12962",12962,84,45,56.22,42,11.25,14.06,67.31,"University Degree"
"12963",12963,96,55,72.11,48,13.75,18.03,79.78,"University Degree"
"12964",12964,96,43,53.67,48,10.75,13.42,72.17,"University Degree"
"12965",12965,80,40,74.33,40,10,18.58,68.58,"University Degree"
"12966",12966,44,38,63.67,22,9.5,15.92,47.42,"University Degree"
"12967",12967,100,29,59.11,50,7.25,14.78,72.03,"University Degree"
"12968",12968,92,47,62.67,46,11.75,15.67,73.42,"University Degree"
"12969",12969,100,40,47.56,50,10,11.89,71.89,"University Degree"
"12970",12970,96,60,82.11,48,15,20.53,83.53,"University Degree"
"12971",12971,100,34,49.78,50,8.5,12.44,70.94,"University Degree"
"12972",12972,44,15,50,22,3.75,12.5,38.25,"University Degree"
"12973",12973,100,52,43.11,50,13,10.78,73.78,"University Degree"
"12974",12974,100,45,62,50,11.25,15.5,76.75,"University Degree"
"12975",12975,96,65,42.33,48,16.25,10.58,74.83,"University Degree"
"12976",12976,56,43,31.44,28,10.75,7.86,46.61,"University Degree"
"12977",12977,40,14,54.67,20,3.5,13.67,37.17,"University Degree"
"12978",12978,40,25,58.22,20,6.25,14.56,40.81,"University Degree"
"12979",12979,88,52,39.89,44,13,9.97,66.97,"University Degree"
"12980",12980,92,53,58.78,46,13.25,14.69,73.94,"University Degree"
"12981",12981,100,43,66.22,50,10.75,16.56,77.31,"University Degree"
"12982",12982,44,55,59.56,22,13.75,14.89,50.64,"University Degree"
"12983",12983,100,73,80.44,50,18.25,20.11,88.36,"University Degree"
"12984",12984,88,40,80,44,10,20,74,"University Degree"
"12985",12985,100,43,60.44,50,10.75,15.11,75.86,"University Degree"
"12986",12986,100,32,51.44,50,8,12.86,70.86,"University Degree"
"12987",12987,100,55,66.67,50,13.75,16.67,80.42,"University Degree"
"12988",12988,80,40,66.22,40,10,16.56,66.56,"University Degree"
"12989",12989,96,57,40.78,48,14.25,10.19,72.44,"University Degree"
"12990",12990,84,48,58.44,42,12,14.61,68.61,"University Degree"
"12991",12991,100,32,62.67,50,8,15.67,73.67,"University Degree"
"12992",12992,92,7,64.56,46,1.75,16.14,63.89,"University Degree"
"12993",12993,100,20,42.67,50,5,10.67,65.67,"University Degree"
"12994",12994,96,37,62.89,48,9.25,15.72,72.97,"University Degree"
"12995",12995,100,50,57.67,50,12.5,14.42,76.92,"University Degree"
"12996",12996,100,60,35.89,50,15,8.97,73.97,"University Degree"
"12997",12997,88,35,63.78,44,8.75,15.94,68.69,"University Degree"
"12998",12998,96,48,50.56,48,12,12.64,72.64,"University Degree"
"12999",12999,100,50,55.33,50,12.5,13.83,76.33,"University Degree"
"13000",13000,40,40,62.44,20,10,15.61,45.61,"University Degree"
"13001",13001,96,50,50.89,48,12.5,12.72,73.22,"University Degree"
"13002",13002,96,38,65.56,48,9.5,16.39,73.89,"University Degree"
"13003",13003,68,38,52.78,34,9.5,13.19,56.69,"University Degree"
"13004",13004,80,48,67.22,40,12,16.81,68.81,"University Degree"
"13005",13005,96,34,40.56,48,8.5,10.14,66.64,"University Degree"
"13006",13006,100,83,54.56,50,20.75,13.64,84.39,"University Degree"
"13007",13007,100,30,52.89,50,7.5,13.22,70.72,"University Degree"
"13008",13008,100,42,60.11,50,10.5,15.03,75.53,"University Degree"
"13009",13009,76,47,67.89,38,11.75,16.97,66.72,"University Degree"
"13010",13010,100,38,64.22,50,9.5,16.06,75.56,"University Degree"
"13011",13011,60,30,58.56,30,7.5,14.64,52.14,"University Degree"
"13012",13012,100,78,31.33,50,19.5,7.83,77.33,"University Degree"
"13013",13013,100,58,44.78,50,14.5,11.19,75.69,"University Degree"
"13014",13014,64,42,58.22,32,10.5,14.56,57.06,"University Degree"
"13015",13015,96,37,50.44,48,9.25,12.61,69.86,"University Degree"
"13016",13016,96,45,70,48,11.25,17.5,76.75,"University Degree"
"13017",13017,100,37,60,50,9.25,15,74.25,"University Degree"
"13018",13018,80,32,51.11,40,8,12.78,60.78,"University Degree"
"13019",13019,100,55,72.67,50,13.75,18.17,81.92,"University Degree"
"13020",13020,100,63,52.11,50,15.75,13.03,78.78,"University Degree"
"13021",13021,100,53,63.44,50,13.25,15.86,79.11,"University Degree"
"13022",13022,36,27,78,18,6.75,19.5,44.25,"University Degree"
"13023",13023,100,42,77.67,50,10.5,19.42,79.92,"University Degree"
"13024",13024,68,53,48.33,34,13.25,12.08,59.33,"University Degree"
"13025",13025,72,42,74.11,36,10.5,18.53,65.03,"University Degree"
"13026",13026,100,30,64,50,7.5,16,73.5,"University Degree"
"13027",13027,88,30,48,44,7.5,12,63.5,"University Degree"
"13028",13028,80,81,52.67,40,20.25,13.17,73.42,"University Degree"
"13029",13029,56,48,63.89,28,12,15.97,55.97,"University Degree"
"13030",13030,72,52,50.11,36,13,12.53,61.53,"University Degree"
"13031",13031,68,52,45.67,34,13,11.42,58.42,"University Degree"
"13032",13032,96,58,55.44,48,14.5,13.86,76.36,"University Degree"
"13033",13033,100,40,58.67,50,10,14.67,74.67,"University Degree"
"13034",13034,100,62,73.89,50,15.5,18.47,83.97,"University Degree"
"13035",13035,72,48,49.22,36,12,12.31,60.31,"University Degree"
"13036",13036,100,71,65.78,50,17.75,16.44,84.19,"University Degree"
"13037",13037,100,53,54.11,50,13.25,13.53,76.78,"University Degree"
"13038",13038,100,57,65.44,50,14.25,16.36,80.61,"University Degree"
"13039",13039,40,34,71.89,20,8.5,17.97,46.47,"University Degree"
"13040",13040,92,34,59.67,46,8.5,14.92,69.42,"University Degree"
"13041",13041,96,48,75.22,48,12,18.81,78.81,"University Degree"
"13042",13042,96,42,54.67,48,10.5,13.67,72.17,"University Degree"
"13043",13043,96,29,68.44,48,7.25,17.11,72.36,"University Degree"
"13044",13044,36,55,29.11,18,13.75,7.28,39.03,"University Degree"
"13045",13045,100,60,59.44,50,15,14.86,79.86,"University Degree"
"13046",13046,80,73,42.22,40,18.25,10.56,68.81,"University Degree"
"13047",13047,100,81,45.78,50,20.25,11.44,81.69,"University Degree"
"13048",13048,100,22,40.56,50,5.5,10.14,65.64,"University Degree"
"13049",13049,100,48,25.44,50,12,6.36,68.36,"University Degree"
"13050",13050,100,57,57.78,50,14.25,14.44,78.69,"University Degree"
"13051",13051,96,42,64,48,10.5,16,74.5,"University Degree"
"13052",13052,100,34,57,50,8.5,14.25,72.75,"University Degree"
"13053",13053,52,50,61.22,26,12.5,15.31,53.81,"University Degree"
"13054",13054,100,65,48.56,50,16.25,12.14,78.39,"University Degree"
"13055",13055,84,40,46,42,10,11.5,63.5,"University Degree"
"13056",13056,76,38,63.22,38,9.5,15.81,63.31,"University Degree"
"13057",13057,60,24,51.44,30,6,12.86,48.86,"University Degree"
"13058",13058,100,50,56.44,50,12.5,14.11,76.61,"University Degree"
"13059",13059,88,34,41.67,44,8.5,10.42,62.92,"University Degree"
"13060",13060,100,47,55.33,50,11.75,13.83,75.58,"University Degree"
"13061",13061,100,25,55.89,50,6.25,13.97,70.22,"University Degree"
"13062",13062,100,73,57.11,50,18.25,14.28,82.53,"University Degree"
"13063",13063,84,52,50.89,42,13,12.72,67.72,"University Degree"
"13064",13064,100,76,57.11,50,19,14.28,83.28,"University Degree"
"13065",13065,92,30,17.22,46,7.5,4.31,57.81,"University Degree"
"13066",13066,44,24,61.67,22,6,15.42,43.42,"University Degree"
"13067",13067,40,43,66.33,20,10.75,16.58,47.33,"University Degree"
"13068",13068,100,91,63.33,50,22.75,15.83,88.58,"University Degree"
"13069",13069,100,58,52,50,14.5,13,77.5,"University Degree"
"13070",13070,92,43,55.56,46,10.75,13.89,70.64,"University Degree"
"13071",13071,28,14,45.89,14,3.5,11.47,28.97,"University Degree"
"13072",13072,92,57,58.33,46,14.25,14.58,74.83,"University Degree"
"13073",13073,88,42,39.22,44,10.5,9.81,64.31,"University Degree"
"13074",13074,100,22,50.89,50,5.5,12.72,68.22,"University Degree"
"13075",13075,60,53,60.11,30,13.25,15.03,58.28,"University Degree"
"13076",13076,64,19,61.11,32,4.75,15.28,52.03,"University Degree"
"13077",13077,100,57,74.11,50,14.25,18.53,82.78,"University Degree"
"13078",13078,52,45,38.22,26,11.25,9.56,46.81,"University Degree"
"13079",13079,48,57,58.22,24,14.25,14.56,52.81,"University Degree"
"13080",13080,72,27,45.56,36,6.75,11.39,54.14,"University Degree"
"13081",13081,100,42,63.78,50,10.5,15.94,76.44,"University Degree"
"13082",13082,100,29,50,50,7.25,12.5,69.75,"University Degree"
"13083",13083,80,29,69,40,7.25,17.25,64.5,"University Degree"
"13084",13084,68,29,49.67,34,7.25,12.42,53.67,"University Degree"
"13085",13085,72,22,56.22,36,5.5,14.06,55.56,"University Degree"
"13086",13086,40,27,41.22,20,6.75,10.31,37.06,"University Degree"
"13087",13087,100,17,42.67,50,4.25,10.67,64.92,"University Degree"
"13088",13088,80,42,71.56,40,10.5,17.89,68.39,"University Degree"
"13089",13089,100,81,53.33,50,20.25,13.33,83.58,"University Degree"
"13090",13090,96,40,62.11,48,10,15.53,73.53,"University Degree"
"13091",13091,96,22,59.33,48,5.5,14.83,68.33,"University Degree"
"13092",13092,96,53,60.33,48,13.25,15.08,76.33,"University Degree"
"13093",13093,100,75,61.33,50,18.75,15.33,84.08,"University Degree"
"13094",13094,100,32,71.56,50,8,17.89,75.89,"University Degree"
"13095",13095,100,80,40.67,50,20,10.17,80.17,"University Degree"
"13096",13096,100,34,51.56,50,8.5,12.89,71.39,"University Degree"
"13097",13097,100,35,54,50,8.75,13.5,72.25,"University Degree"
"13098",13098,84,19,57.56,42,4.75,14.39,61.14,"University Degree"
"13099",13099,92,35,68.56,46,8.75,17.14,71.89,"University Degree"
"13100",13100,40,30,66.44,20,7.5,16.61,44.11,"University Degree"
"13101",13101,100,62,59.67,50,15.5,14.92,80.42,"University Degree"
"13102",13102,88,29,67.89,44,7.25,16.97,68.22,"University Degree"
"13103",13103,100,55,49.33,50,13.75,12.33,76.08,"University Degree"
"13104",13104,96,50,57.22,48,12.5,14.31,74.81,"University Degree"
"13105",13105,48,38,41.11,24,9.5,10.28,43.78,"University Degree"
"13106",13106,60,63,65.44,30,15.75,16.36,62.11,"University Degree"
"13107",13107,100,62,84.11,50,15.5,21.03,86.53,"University Degree"
"13108",13108,60,52,45.44,30,13,11.36,54.36,"University Degree"
"13109",13109,60,65,45.78,30,16.25,11.44,57.69,"University Degree"
"13110",13110,100,60,68.67,50,15,17.17,82.17,"University Degree"
"13111",13111,100,57,39.33,50,14.25,9.83,74.08,"University Degree"
"13112",13112,100,63,63.56,50,15.75,15.89,81.64,"University Degree"
"13113",13113,88,67,43,44,16.75,10.75,71.5,"University Degree"
"13114",13114,60,50,40,30,12.5,10,52.5,"University Degree"
"13115",13115,100,27,64.56,50,6.75,16.14,72.89,"University Degree"
"13116",13116,60,55,35.33,30,13.75,8.83,52.58,"University Degree"
"13117",13117,100,37,41.67,50,9.25,10.42,69.67,"University Degree"
"13118",13118,56,50,60.67,28,12.5,15.17,55.67,"University Degree"
"13119",13119,68,55,55.67,34,13.75,13.92,61.67,"University Degree"
"13120",13120,100,34,57.22,50,8.5,14.31,72.81,"University Degree"
"13121",13121,84,37,59.22,42,9.25,14.81,66.06,"University Degree"
"13122",13122,100,70,62.11,50,17.5,15.53,83.03,"University Degree"
"13123",13123,96,47,62.56,48,11.75,15.64,75.39,"University Degree"
"13124",13124,68,52,59.67,34,13,14.92,61.92,"University Degree"
"13125",13125,48,55,68.67,24,13.75,17.17,54.92,"University Degree"
"13126",13126,68,19,52.33,34,4.75,13.08,51.83,"University Degree"
"13127",13127,100,50,45.22,50,12.5,11.31,73.81,"University Degree"
"13128",13128,76,25,57.44,38,6.25,14.36,58.61,"University Degree"
"13129",13129,76,19,35,38,4.75,8.75,51.5,"University Degree"
"13130",13130,100,58,77.22,50,14.5,19.31,83.81,"University Degree"
"13131",13131,100,45,52.11,50,11.25,13.03,74.28,"University Degree"
"13132",13132,96,19,54.11,48,4.75,13.53,66.28,"University Degree"
"13133",13133,100,47,74,50,11.75,18.5,80.25,"University Degree"
"13134",13134,92,32,65.44,46,8,16.36,70.36,"University Degree"
"13135",13135,72,19,67,36,4.75,16.75,57.5,"University Degree"
"13136",13136,84,40,55.67,42,10,13.92,65.92,"University Degree"
"13137",13137,20,57,51.89,10,14.25,12.97,37.22,"University Degree"
"13138",13138,60,63,47.33,30,15.75,11.83,57.58,"University Degree"
"13139",13139,96,25,36.78,48,6.25,9.19,63.44,"University Degree"
"13140",13140,96,42,59.56,48,10.5,14.89,73.39,"University Degree"
"13141",13141,92,55,48.89,46,13.75,12.22,71.97,"University Degree"
"13142",13142,100,88,51.11,50,22,12.78,84.78,"University Degree"
"13143",13143,100,67,52.44,50,16.75,13.11,79.86,"University Degree"
"13144",13144,100,45,50.78,50,11.25,12.69,73.94,"University Degree"
"13145",13145,100,42,65.56,50,10.5,16.39,76.89,"University Degree"
"13146",13146,96,52,63.56,48,13,15.89,76.89,"University Degree"
"13147",13147,96,34,61.11,48,8.5,15.28,71.78,"University Degree"
"13148",13148,64,47,53.33,32,11.75,13.33,57.08,"University Degree"
"13149",13149,24,27,41.89,12,6.75,10.47,29.22,"University Degree"
"13150",13150,100,55,60.67,50,13.75,15.17,78.92,"University Degree"
"13151",13151,100,90,61.56,50,22.5,15.39,87.89,"University Degree"
"13152",13152,92,53,46.89,46,13.25,11.72,70.97,"University Degree"
"13153",13153,80,50,63.11,40,12.5,15.78,68.28,"University Degree"
"13154",13154,76,25,41.89,38,6.25,10.47,54.72,"University Degree"
"13155",13155,100,24,64.67,50,6,16.17,72.17,"University Degree"
"13156",13156,100,67,59.89,50,16.75,14.97,81.72,"University Degree"
"13157",13157,40,50,73,20,12.5,18.25,50.75,"University Degree"
"13158",13158,88,50,59.22,44,12.5,14.81,71.31,"University Degree"
"13159",13159,100,50,55.67,50,12.5,13.92,76.42,"University Degree"
"13160",13160,96,60,38.78,48,15,9.69,72.69,"University Degree"
"13161",13161,76,53,53.56,38,13.25,13.39,64.64,"University Degree"
"13162",13162,56,73,60.78,28,18.25,15.19,61.44,"University Degree"
"13163",13163,100,47,48.56,50,11.75,12.14,73.89,"University Degree"
"13164",13164,40,45,59.67,20,11.25,14.92,46.17,"University Degree"
"13165",13165,88,15,58.33,44,3.75,14.58,62.33,"University Degree"
"13166",13166,76,19,56.44,38,4.75,14.11,56.86,"University Degree"
"13167",13167,88,50,41.22,44,12.5,10.31,66.81,"University Degree"
"13168",13168,100,22,43.33,50,5.5,10.83,66.33,"University Degree"
"13169",13169,96,40,52.67,48,10,13.17,71.17,"University Degree"
"13170",13170,100,37,61.44,50,9.25,15.36,74.61,"University Degree"
"13171",13171,96,35,58.56,48,8.75,14.64,71.39,"University Degree"
"13172",13172,100,27,63,50,6.75,15.75,72.5,"University Degree"
"13173",13173,100,78,49.44,50,19.5,12.36,81.86,"University Degree"
"13174",13174,96,25,79.56,48,6.25,19.89,74.14,"University Degree"
"13175",13175,84,43,65,42,10.75,16.25,69,"University Degree"
"13176",13176,100,53,37.22,50,13.25,9.31,72.56,"University Degree"
"13177",13177,52,47,58.56,26,11.75,14.64,52.39,"University Degree"
"13178",13178,100,32,52.44,50,8,13.11,71.11,"University Degree"
"13179",13179,80,57,68.89,40,14.25,17.22,71.47,"University Degree"
"13180",13180,100,27,56.78,50,6.75,14.19,70.94,"University Degree"
"13181",13181,96,55,58,48,13.75,14.5,76.25,"University Degree"
"13182",13182,92,67,70.89,46,16.75,17.72,80.47,"University Degree"
"13183",13183,72,27,39.89,36,6.75,9.97,52.72,"University Degree"
"13184",13184,96,43,50.22,48,10.75,12.56,71.31,"University Degree"
"13185",13185,100,68,63.78,50,17,15.94,82.94,"University Degree"
"13186",13186,64,22,61.78,32,5.5,15.44,52.94,"University Degree"
"13187",13187,100,38,42.33,50,9.5,10.58,70.08,"University Degree"
"13188",13188,48,50,39.33,24,12.5,9.83,46.33,"University Degree"
"13189",13189,100,30,67.67,50,7.5,16.92,74.42,"University Degree"
"13190",13190,80,38,51.22,40,9.5,12.81,62.31,"University Degree"
"13191",13191,52,24,57,26,6,14.25,46.25,"University Degree"
"13192",13192,80,43,60.56,40,10.75,15.14,65.89,"University Degree"
