"","AA","section1_score","section2_score","section3_score","section3_weighted","section1_weighted","section2_weighted","total_score","candidate_type"
"698",698,88,40,58.33,44,10,14.58,68.58,"University Degree"
"699",699,48,37,57.56,24,9.25,14.39,47.64,"University Degree"
"700",700,88,38,55.67,44,9.5,13.92,67.42,"University Degree"
"701",701,84,29,53.44,42,7.25,13.36,62.61,"University Degree"
"702",702,100,38,59.11,50,9.5,14.78,74.28,"University Degree"
"703",703,100,29,68.67,50,7.25,17.17,74.42,"University Degree"
"704",704,96,57,61.89,48,14.25,15.47,77.72,"University Degree"
"705",705,52,76,46.11,26,19,11.53,56.53,"University Degree"
"706",706,80,25,44.78,40,6.25,11.19,57.44,"University Degree"
"707",707,100,25,77.78,50,6.25,19.44,75.69,"University Degree"
"708",708,96,37,34.89,48,9.25,8.72,65.97,"University Degree"
"709",709,76,42,70.22,38,10.5,17.56,66.06,"University Degree"
"710",710,96,27,61.78,48,6.75,15.44,70.19,"University Degree"
"711",711,100,25,52.22,50,6.25,13.06,69.31,"University Degree"
"712",712,84,53,52.11,42,13.25,13.03,68.28,"University Degree"
"713",713,88,35,59.44,44,8.75,14.86,67.61,"University Degree"
"714",714,100,65,80.11,50,16.25,20.03,86.28,"University Degree"
"715",715,88,22,42.78,44,5.5,10.69,60.19,"University Degree"
"716",716,100,83,67.44,50,20.75,16.86,87.61,"University Degree"
"717",717,96,47,70.89,48,11.75,17.72,77.47,"University Degree"
"718",718,100,52,63.44,50,13,15.86,78.86,"University Degree"
"719",719,60,20,33.67,30,5,8.42,43.42,"University Degree"
"720",720,80,42,47.56,40,10.5,11.89,62.39,"University Degree"
"721",721,68,47,47.11,34,11.75,11.78,57.53,"University Degree"
"722",722,76,7,46.89,38,1.75,11.72,51.47,"University Degree"
"723",723,52,37,46.22,26,9.25,11.56,46.81,"University Degree"
"724",724,96,43,53.44,48,10.75,13.36,72.11,"University Degree"
